150_to_200_roof_top_capacity_distribution,15_to_20_roof_top_capacity_distribution,100_to_150_roof_top_capacity_distribution,roof_space_median,350_to_400_roof_top_capacity_distribution,potential_tree_planet_all_solar,roof_viable_total,250_to_300_roof_top_capacity_distribution,roof_total_est_e_facing,potential_car_taken_off_rode_all_solar,roof_energy_median,roof_solar_viable,600_to_650_roof_top_capacity_distribution,500_to_550_roof_top_capacity_distribution,roof_total_est_flat_roofs,400_to_450_roof_top_capacity_distribution,10_to_15_roof_top_capacity_distribution,950_to_1000_roof_top_capacity_distribution,roof_total_est_n_facing,20_to_25_roof_top_capacity_distribution,roof_total_est_w_facing,750_to_800_roof_top_capacity_distribution,300_to_350_roof_top_capacity_distribution,40_to_45_roof_top_capacity_distribution,potential_co2_saved_all_solar,200_to_250_roof_top_capacity_distribution,650_to_700_roof_top_capacity_distribution,roof_total_est_s_facing,30_to_35_roof_top_capacity_distribution,0_to_5_roof_top_capacity_distribution,threshold_viable_sunroof,roof_space_total,800_to_850_roof_top_capacity_distribution,900_to_950_roof_top_capacity_distribution,450_to_500_roof_top_capacity_distribution,roof_capacity_median,550_to_600_roof_top_capacity_distribution,700_to_750_roof_top_capacity_distribution,25_to_30_roof_top_capacity_distribution,45_to_50_roof_top_capacity_distribution,5_to_10_roof_top_capacity_distribution,35_to_40_roof_top_capacity_distribution,town,zip_code,total_yearl_energy_est_flat_roof,850_to_900_roof_top_capacity_distribution,50_to_100_roof_top_capacity_distribution
12,344,36,546.16943,2,1413376,5286,4,8.213,11653,10368.83,0.6913419,0,2,36.31975,1,983,1,6.15925,170,12.74775,0,3,38,55121.684,6,0,11.8475,56,1406,1161.95,5305754,0,0,2,7.75,2,1,105,30,1924,39,tampa,33603,7547.6724,1,117
15,623,42,493.3143,0,1985936,8625,4,12.03025,16374,9337.724,0.61209285,1,0,48.554,2,1527,2,11.393,212,15.45675,0,6,44,77451.53,5,1,20.274,74,2648,1161.95,7590557,0,0,1,7,0,1,124,40,3037,36,tampa,33604,14089.202,0,176
60,499,110,669.498,13,3627710,5961,26,13.126,29911,12889.528,0.8176955,7,4,131.702,12,1167,12,9.15175,205,17.45225,3,12,58,141480.72,38,3,15.73325,89,1199,1161.95,13190185,2,2,6,9.5,7,5,126,54,1906,61,tampa,33605,11348.671,6,253
23,479,67,757.58984,5,1904959,4160,13,10.6655,15706,14672.157,0.8646851,1,3,57.555,2,769,6,6.687,270,12.4465,1,9,48,74293.41,18,0,12.26875,93,697,1161.95,7020761,0,2,1,10.75,3,2,178,41,1222,71,tampa,33606,8256.866,0,135
45,550,107,669.498,9,3850202,6821,44,15.34125,31745,12934.802,0.86506027,5,11,140.6895,11,1458,17,11.34975,221,18.61925,3,23,79,150157.9,29,3,14.081,101,1275,1161.95,14100385,5,2,9,9.5,10,3,116,50,2290,78,tampa,33607,14022.174,6,255
31,533,53,687.11633,2,1977534,5051,8,8.92575,16305,13445.685,0.8314403,2,2,62.78875,3,1041,2,7.3635,259,11.8885,0,12,46,77123.84,18,0,12.8635,89,952,1161.95,7317260.5,1,1,4,9.75,1,4,145,28,1566,60,tampa,33609,9047.296,1,187
94,665,150,616.6429,19,5331758,9198,39,19.396,43961,11776.2295,0.72368217,4,11,196.151,15,1640,23,15.676,284,24.13125,4,30,100,207938.58,75,7,24.858,117,2046,1161.95,19747530,2,8,12,8.75,7,5,178,71,3092,96,tampa,33610,19234.885,5,383
61,692,139,616.6429,13,3855499,9175,23,15.49675,31789,11550.989,0.72255474,4,6,135.6315,6,1724,9,12.40375,328,19.869,1,15,87,150364.48,34,2,21.91625,119,2129,1161.95,14469420,2,2,5,8.75,5,2,183,94,2984,98,tampa,33612,15115.271,2,399
27,630,60,916.15515,4,2226826,4920,12,14.40375,18360,16920.824,0.7872,1,2,55.60925,2,1000,6,11.16075,401,18.42675,2,7,99,86846.24,13,2,20.62875,148,687,1161.95,8472973,2,1,4,13,1,1,233,58,1167,119,tampa,33613,13704.329,0,231
74,1321,131,775.2082,15,4713926,10327,17,20.79425,38867,14862.24,0.84633666,4,12,153.04225,15,2431,13,18.43925,559,25.8905,1,20,94,183843.11,30,9,29.73425,168,1597,1161.95,17470410,2,1,10,11,5,3,301,78,2879,123,tampa,33614,22547.402,1,411
21,1728,66,810.44495,1,3688265,11353,6,33.25075,30410,15587.151,0.8895941,1,1,59.22775,2,2953,4,26.85,782,39.659,0,4,104,143842.36,10,2,37.4165,205,1405,1161.95,13841272,1,3,2,11.5,0,2,343,69,3148,137,tampa,33615,33092.777,1,351
25,990,98,704.73474,8,3206026,8660,10,21.15375,26434,13086.451,0.7678667,1,1,80.985,4,1744,8,14.88575,474,27.3725,0,6,81,125035.03,11,3,28.752,159,1772,1161.95,12202411,1,2,1,10,8,0,266,91,2426,114,tampa,33617,18111.729,2,350
20,1235,30,863.30005,6,2660220,7493,12,23.17775,21934,16161.603,0.86414486,0,0,45.2025,5,1581,9,13.97675,659,28.912,1,9,62,103748.586,14,1,32.655,177,1086,1161.95,10142824,0,1,2,12.25,3,1,384,38,1856,168,tampa,33618,16913.4,0,133
119,885,227,739.97144,41,8528677,10110,64,19.776,70321,14287.639,0.8225531,16,25,351.68774,31,2309,47,17.66225,440,26.3615,9,49,90,332618.4,71,19,27.519,128,1595,1161.95,31220206,5,6,18,10.5,16,18,165,88,3014,108,tampa,33619,21901.44,4,453
11,5,8,4774.5776,2,469655,149,2,0.20575,3872,92814.58,0.8816568,2,5,23.63,0,8,3,0.1295,7,0.27025,1,6,7,18316.547,9,1,0.31,3,12,1161.95,1729806.6,1,0,4,67.75,2,1,4,3,9,4,tampa,33620,159.64975,0,29
20,2112,39,828.0633,0,3430649,11700,10,36.928,28286,15816.521,0.91029334,3,2,32.823,1,3109,6,23.77775,946,43.16825,1,5,49,133795.33,13,2,48.83875,164,1501,1161.95,13075349,0,0,2,11.75,0,0,355,36,3082,102,tampa,33624,28872.037,1,137
17,1095,35,792.82654,3,2234955,7416,4,22.24075,18427,15023.491,0.88867587,4,3,27.0245,0,2164,3,12.88375,505,27.47375,0,4,20,87163.27,4,1,30.47125,111,902,1161.95,8463441,0,0,1,11.25,0,2,228,25,2118,39,tampa,33625,15553.927,0,126
38,1423,45,1004.247,2,2931263,7971,8,37.5535,24168,19458.328,0.9286963,1,1,25.89,5,1749,3,11.392,1055,42.57925,0,3,70,114319.27,14,1,38.3215,243,828,1161.9614,10975274,0,0,2,14.25,0,1,565,47,1604,125,tampa,33626,13734.485,2,136
12,775,33,651.87964,2,1762251,6392,6,10.61025,14530,12372.962,0.7894282,4,1,41.20025,1,1334,1,9.44125,338,14.16675,0,1,26,68727.8,10,0,18.59875,101,1331,1161.95,6625722,0,0,2,9.25,0,2,162,25,2062,56,tampa,33629,11591.171,0,106
62,898,100,863.30005,33,4954045,5934,38,13.79825,40847,16507.938,0.91096103,8,23,200.316,24,1558,19,10.373,282,16.0225,2,45,41,193207.75,44,6,15.639,57,660,1161.95,18051692,4,5,19,12.25,11,7,148,44,1532,36,tampa,33634,12795.033,3,201
7,671,25,845.68164,2,1229850,3830,1,11.57875,10140,16551.05,0.9007526,0,1,16.2695,1,1194,3,8.6335,267,12.8905,0,1,18,47964.184,7,0,15.72975,34,364,1161.95,4587964,0,0,0,12,1,0,113,22,981,31,tampa,33635,10400.614,0,86
31,339,51,739.97144,2,1501270,3222,8,9.88425,12378,14000.464,0.8647343,1,4,38.244,4,746,5,6.181,155,13.6145,0,8,19,58549.54,10,2,12.5055,45,477,1161.95,5668128.5,0,0,4,10.5,1,3,93,14,1015,34,tampa,33637,7476.4297,1,150
21,2992,67,1039.4838,8,5855936,16068,8,77.245,48283,19932.645,0.9768375,3,3,42.17525,1,4107,8,20.96925,2026,81.28975,1,4,138,228381.53,12,1,94.82875,648,918,1161.95,22305418,3,0,1,14.75,4,0,1255,92,3102,275,tampa,33647,24864.613,1,367
10,23,24,2554.6633,3,118622,314,0,0.239,978,34719.223,0.8071979,0,0,15.7,0,30,1,0.50225,19,0.42825,1,0,17,4626.271,6,0,1.1645,14,25,854.25,1270918.6,0,0,1,36.25,0,0,12,14,32,16,seattle,98101,441.91672,0,66
11,99,20,440.4592,1,246029,2432,1,1.50225,2028,6355.8877,0.7055411,0,0,25.1365,0,249,0,0.857,69,3.089,0,0,36,9595.156,3,0,5.27625,53,921,854.25,2527249.2,0,0,1,6.25,0,0,74,28,721,29,seattle,98102,754.83344,0,116
10,291,43,352.36737,7,690151,10165,6,9.229,5690,5056.3003,0.71418536,0,1,45.3325,2,786,2,3.94275,185,20.10775,2,0,47,26915.92,6,2,21.97975,92,4759,854.25,7089050,0,0,0,5,0,0,124,42,3535,71,seattle,98103,3650.1267,0,151
19,39,23,2026.1123,0,164994,488,3,0.4645,1360,28111.705,0.8937729,1,0,21.918,2,49,0,0.4395,41,0.899,0,2,18,6434.7754,12,0,0.97975,24,40,854.25,1740747.6,0,0,0,28.75,0,0,30,19,52,28,seattle,98104,395.6629,0,86
23,191,38,387.6041,7,541853,5844,7,6.719,4467,5404.213,0.7026572,0,2,42.891,2,503,3,3.03575,127,11.216,1,6,37,21132.29,13,0,16.26,63,2534,854.25,5646458,1,0,0,5.5,2,0,75,33,1963,56,seattle,98105,2665.5024,0,156
20,227,36,440.4592,2,565433,6119,7,8.65225,4662,6077.0405,0.7964337,0,1,39.075,1,894,7,4.4445,83,14.88725,1,4,15,22051.906,14,0,15.11425,18,2211,854.25,5791034.5,0,0,2,6.25,3,4,38,12,2413,18,seattle,98106,3959.6323,0,85
20,220,36,387.6041,1,489295,4429,8,6.355,4034,5705.302,0.70112395,1,0,40.01175,3,456,3,2.774,132,11.074,0,7,37,19082.512,9,2,10.38625,48,1883,854.25,4975497.5,0,0,2,5.5,1,1,99,36,1219,49,seattle,98107,2487.167,0,155
66,263,131,458.07758,16,1373904,6571,32,9.761,11328,6527.878,0.80320257,9,5,148.54025,11,840,7,7.0575,113,15.09225,5,22,50,53582.258,49,10,15.369,47,2266,854.25,13800115,5,3,19,6.5,15,4,79,28,2207,39,seattle,98108,6373.3135,5,216
26,101,79,458.07758,5,492502,2724,7,2.799,4060,6499.86,0.7581408,0,2,54.721,2,203,3,2.32775,88,6.1545,0,7,46,19207.586,18,0,6.44225,64,981,854.25,5105415.5,0,0,1,6.5,4,1,74,31,756,45,seattle,98109,2111.5042,1,176
8,263,19,405.22247,1,340732,4865,1,7.8555,2809,5345.151,0.48884645,0,1,11.30225,1,607,1,4.12875,113,12.69,0,2,11,13288.573,4,0,16.7425,28,2008,825.35,3715291,0,0,1,5.75,3,0,52,17,1634,35,seattle,98110,3698.9294,0,53
9,160,12,369.98572,0,275218,4456,2,3.958,2269,5280.3823,0.6724008,0,0,16.1785,0,410,0,0.9715,76,8.1265,1,2,19,10733.52,5,0,11.7225,31,1994,854.25,2886382,0,0,0,5.25,0,0,42,10,1603,23,seattle,98112,853.9001,0,57
17,373,28,352.36737,5,692801,11038,7,11.35025,5712,4932.722,0.67452943,0,1,39.12,2,1053,3,5.8895,146,23.70325,0,3,19,27019.266,5,0,23.672,57,5227,854.25,7310565.5,0,0,1,5,1,0,88,27,3833,26,seattle,98115,5425.66,0,110
5,270,12,387.6041,0,384037,6061,3,5.84025,3166,5399.6675,0.7467964,0,0,19.4375,0,669,0,5.446,117,11,0,3,21,14977.45,3,0,14.433,27,2662,854.25,3957561.2,0,0,0,5.5,0,1,61,21,2109,17,seattle,98116,5066.0605,0,57
5,260,8,334.749,1,482140,9212,1,7.92575,3975,4815.6377,0.7301839,0,0,18.486,1,783,4,4.077,113,16.7465,0,2,13,18803.469,3,0,23.31575,39,4698,854.25,4971974,0,0,1,4.75,1,0,49,12,3165,22,seattle,98117,3594.6858,0,29
12,494,26,440.4592,5,722734,10126,6,13.046,5959,6186.7026,0.7886907,0,0,38.57,1,1515,2,7.263,156,24.47675,0,6,35,28186.639,12,1,22.91725,54,3652,854.25,7489427.5,1,0,5,6.25,2,0,87,18,3903,25,seattle,98118,6433.386,1,107
22,139,42,405.22247,3,476355,3670,6,3.215,3927,5717.48,0.740666,3,2,44.49475,5,314,0,3.8465,108,6.0625,0,7,31,18577.87,14,0,11.4315,49,1526,854.25,4866211,1,0,2,5.75,2,3,67,24,1128,25,seattle,98119,3775.2424,0,143
9,29,28,2501.8083,1,128679,321,0,0.24125,1060,33790.527,0.86756754,0,1,16.5785,0,23,1,0.1155,16,1.29075,0,4,19,5018.495,4,0,0.9515,23,19,854.25,1351505,0,0,0,35.5,2,0,20,12,28,19,seattle,98121,102.777916,0,63
18,154,35,369.98572,1,417908,4598,6,3.14325,3445,5240.7188,0.6791728,1,0,35.8865,0,311,1,2.361,93,6.383,0,4,35,16298.443,9,1,13.512,55,2082,854.25,4319019.5,0,0,2,5.25,1,0,71,24,1504,49,seattle,98122,2077.0227,0,139
21,279,38,422.84082,4,557488,6855,6,8.78675,4596,5727.952,0.6350162,1,2,40.2625,3,877,3,3.4285,115,15.18175,0,4,31,21742.059,7,0,16.5415,40,2607,854.25,5933937,0,0,4,6,0,1,57,21,2541,53,seattle,98125,3059.392,0,140
6,159,13,369.98572,1,353743,5655,0,6.20175,2916,5214.5947,0.7616162,0,0,17.83725,0,542,3,4.008,55,11.77975,0,4,10,13795.992,6,1,11.8685,18,2576,854.25,3643143.8,0,1,0,5.25,1,0,20,19,2154,16,seattle,98126,3558.0623,0,49
41,433,61,458.07758,4,912277,8927,16,12.0335,7521,6402.29,0.6951951,3,2,69.852,7,1257,7,6.47,139,23.194,2,9,41,35578.805,16,1,23.4255,60,3018,854.25,9512157,0,1,5,6.5,2,0,93,39,3405,61,seattle,98133,5792.164,1,199
49,41,106,4580.776,15,958515,912,24,2.44625,7903,65673.195,0.93442625,9,9,110.98075,15,56,21,6.82475,41,5.91675,2,15,27,37382.1,43,6,10.20875,28,49,854.25,9610978,4,3,12,65,11,2,31,16,74,27,seattle,98134,6207.1387,3,170
3,174,3,387.6041,0,243551,4468,1,4.8975,2008,5564.509,0.7682256,0,0,8.7555,0,556,0,2.48175,63,9.402,0,1,7,9498.503,0,0,10.1955,22,1906,854.25,2518175.8,0,0,0,5.5,0,0,23,8,1662,9,seattle,98136,2196.7134,0,29
16,205,24,405.22247,1,486709,6102,5,7.56275,4013,5707.993,0.75501114,1,0,32.921,1,603,4,2.46525,93,12.4925,2,7,24,18981.66,9,0,15.0785,45,2515,854.25,4969789.5,1,0,0,5.75,0,0,63,31,2326,24,seattle,98144,2182.0767,0,101
