Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 12/09  01:00:00,1.19661059684,8.52583226902,0.0,8.08577589144,0.0,0.223623783899,0.223623783899,0.223623783899,0.256901791512,0.0585408254713,0.122837147866,0.511307048096
 12/09  02:00:00,1.02318447486,8.79873547822,0.0,8.46185302145,0.0,0.234021091919,0.234021091919,0.234021091919,0.156375021012,0.0356335685143,0.102975685881,0.470779107534
 12/09  03:00:00,0.944081322346,9.18313389371,0.0,8.8745096274,0.0,0.245429835273,0.245429835273,0.245429835273,0.100526810211,0.0229072875,0.0864965903205,0.465320799041
 12/09  04:00:00,0.938146052817,9.57956067853,0.0,9.26363626683,0.0,0.256195519062,0.256195519062,0.256195519062,0.100526810211,0.0229072875,0.0763456071944,0.458770828849
 12/09  05:00:00,0.945394153472,10.0558817333,0.0,9.65953019048,0.0,0.267157251321,0.267157251321,0.267157251321,0.100526810211,0.0229072875,0.0899621050554,0.441440699384
 12/09  06:00:00,1.03308813174,10.6328232028,0.0,9.88232108844,0.0,0.27333139727,0.27333139727,0.27333139727,0.111696460064,0.0254525406486,0.106595392246,0.492612341507
 12/09  07:00:00,1.35895968095,12.2926152311,0.0,10.8788309119,0.0,0.30090735369,0.30090735369,0.30090735369,0.234562596039,0.0534503375,0.177474275597,0.569165118123
 12/09  08:00:00,1.83691459342,12.4639953353,0.0,10.8585631426,0.0,0.300406843058,0.300406843058,0.300406843058,0.480294791063,0.109445918986,0.281086459277,0.604780581041
 12/09  09:00:00,1.75111214623,11.4771024388,0.0,9.91477537556,0.0,0.274328876237,0.274328876237,0.274328876237,0.469125063036,0.106900675,0.36605048386,0.511307048096
 12/09  10:00:00,1.49768504387,11.2154794026,0.0,9.79903391439,0.0,0.271161236896,0.271161236896,0.271161236896,0.256901791512,0.0585408254713,0.45251754537,0.435163644616
 12/09  11:00:00,1.49392532814,11.6656332469,0.0,10.4214093506,0.0,0.288361321299,0.288361321299,0.288361321299,0.212223271524,0.0483598189856,0.476182943291,0.445397973041
 12/09  12:00:00,1.49147694881,10.6633411583,0.0,9.57655353524,0.0,0.264987399409,0.264987399409,0.264987399409,0.212223271524,0.0483598189856,0.496972028135,0.445534430753
 12/09  13:00:00,1.46433145805,10.3948166083,0.0,9.42907093506,0.0,0.260903165856,0.260903165856,0.260903165856,0.212223271524,0.0483598189856,0.481415945109,0.438029256575
 12/09  14:00:00,1.42906206533,10.110065668,0.0,9.21856640899,0.0,0.255084008701,0.255084008701,0.255084008701,0.212223271524,0.0483598189856,0.43681890348,0.453176062644
 12/09  15:00:00,1.44499409926,9.96159184628,0.0,9.13904623665,0.0,0.252885421251,0.252885421251,0.252885421251,0.234562596039,0.0534503375,0.402002089622,0.478693654849
 12/09  16:00:00,1.58774084381,9.85110542723,0.0,9.01913707937,0.0,0.249579540495,0.249579540495,0.249579540495,0.323919638512,0.0738123504713,0.411726405573,0.505302908753
 12/09  17:00:00,2.06684497706,10.3948938031,0.0,9.46644973021,0.0,0.262010323074,0.262010323074,0.262010323074,0.580821561563,0.132353206486,0.470575105936,0.59768478
 12/09  18:00:00,2.86891349874,11.708390782,0.0,10.5927144534,0.0,0.293300287868,0.293300287868,0.293300287868,1.0164376986,0.231618118986,0.578065905983,0.726091487301
 12/09  19:00:00,3.30216283364,11.8335955044,0.0,10.5377583618,0.0,0.291897826411,0.291897826411,0.291897826411,1.34035694,0.305430469457,0.522761393651,0.788316204123
 12/09  20:00:00,3.09854226817,12.1623082359,0.0,10.8280878354,0.0,0.299999734511,0.299999734511,0.299999734511,1.25100029714,0.285068456486,0.425376441419,0.813697338616
 12/09  21:00:00,2.95071161529,12.3266570999,0.0,11.0868126699,0.0,0.307210249147,0.307210249147,0.307210249147,1.13930379611,0.259615925,0.37951047539,0.841671169644
 12/09  22:00:00,2.70232613384,12.5777384131,0.0,11.4680678637,0.0,0.31780885415,0.31780885415,0.31780885415,0.960589450587,0.218891837971,0.359614732068,0.822021259068
 12/09  23:00:00,2.2334803784,12.8762849503,0.0,11.972485425,0.0,0.331818178699,0.331818178699,0.331818178699,0.714857255563,0.162896256486,0.289154633287,0.71135405437
 12/09  24:00:00,1.79345956449,13.0554991035,0.0,12.3788481666,0.0,0.343117381527,0.343117381527,0.343117381527,0.502633986536,0.1145364375,0.191618322082,0.618153436849
 12/10  01:00:00,1.33083042159,13.346781968,0.0,12.9093840646,0.0,0.357843608648,0.357843608648,0.357843608648,0.256901791512,0.0585408254713,0.122837147866,0.511307048096
 12/10  02:00:00,1.17675432617,14.3152919868,0.0,13.9811816356,0.0,0.387590943224,0.387590943224,0.387590943224,0.156375021012,0.0356335685143,0.102975685881,0.470779107534
 12/10  03:00:00,1.11101399164,15.1788066068,0.0,14.8732829686,0.0,0.412362504562,0.412362504562,0.412362504562,0.100526810211,0.0229072875,0.0864965903205,0.465320799041
 12/10  04:00:00,1.12246461028,16.198046436,0.0,15.8854697712,0.0,0.440514076524,0.440514076524,0.440514076524,0.100526810211,0.0229072875,0.0763456071944,0.458770828849
 12/10  05:00:00,1.11320665682,16.0742237692,0.0,15.6811367642,0.0,0.434969754669,0.434969754669,0.434969754669,0.100526810211,0.0229072875,0.0899621050554,0.441440699384
 12/10  06:00:00,1.18854559921,16.2033997208,0.0,15.4550148964,0.0,0.428788864741,0.428788864741,0.428788864741,0.111696460064,0.0254525406486,0.106595392246,0.492612341507
 12/10  07:00:00,1.50922489167,17.6730255565,0.0,16.2593311636,0.0,0.451172564409,0.451172564409,0.451172564409,0.234562596039,0.0534503375,0.177474275597,0.569165118123
 12/10  08:00:00,1.97960148789,17.5698442906,0.0,15.9638471134,0.0,0.443093737525,0.443093737525,0.443093737525,0.480294791063,0.109445918986,0.281086459277,0.604780581041
 12/10  09:00:00,1.89102560848,16.4836868554,0.0,14.9206057416,0.0,0.414242338487,0.414242338487,0.414242338487,0.469125063036,0.106900675,0.36605048386,0.511307048096
 12/10  10:00:00,1.62345676991,15.7141899469,0.0,14.2973370985,0.0,0.396932962942,0.396932962942,0.396932962942,0.256901791512,0.0585408254713,0.45251754537,0.435163644616
 12/10  11:00:00,1.59464170427,15.2587529601,0.0,14.0145165022,0.0,0.389077697431,0.389077697431,0.389077697431,0.212223271524,0.0483598189856,0.476182943291,0.445397973041
 12/10  12:00:00,1.57286751981,13.5624108664,0.0,12.4758556641,0.0,0.346377970407,0.346377970407,0.346377970407,0.212223271524,0.0483598189856,0.496972028135,0.445534430753
 12/10  13:00:00,1.53217641902,12.8057404341,0.0,11.8406437002,0.0,0.328748126823,0.328748126823,0.328748126823,0.212223271524,0.0483598189856,0.481415945109,0.438029256575
 12/10  14:00:00,1.50869890308,12.9459194777,0.0,12.055234599,0.0,0.334720846447,0.334720846447,0.334720846447,0.212223271524,0.0483598189856,0.43681890348,0.453176062644
 12/10  15:00:00,1.51950079182,12.611147587,0.0,11.7899195592,0.0,0.327392113808,0.327392113808,0.327392113808,0.234562596039,0.0534503375,0.402002089622,0.478693654849
 12/10  16:00:00,1.67852679268,13.0856603024,0.0,12.2552257899,0.0,0.340365489369,0.340365489369,0.340365489369,0.323919638512,0.0738123504713,0.411726405573,0.505302908753
 12/10  17:00:00,2.16813087976,14.0040851041,0.0,13.0770821966,0.0,0.363296225778,0.363296225778,0.363296225778,0.580821561563,0.132353206486,0.470575105936,0.59768478
 12/10  18:00:00,2.97576200764,15.5121041882,0.0,14.3973900539,0.0,0.400148796764,0.400148796764,0.400148796764,1.0164376986,0.231618118986,0.578065905983,0.726091487301
 12/10  19:00:00,3.40375370912,15.449229042,0.0,14.1535404759,0.0,0.393488701886,0.393488701886,0.393488701886,1.34035694,0.305430469457,0.522761393651,0.788316204123
 12/10  20:00:00,3.20155265408,15.8280774769,0.0,14.4939909176,0.0,0.403010120418,0.403010120418,0.403010120418,1.25100029714,0.285068456486,0.425376441419,0.813697338616
 12/10  21:00:00,3.05608123875,16.0759333635,0.0,14.8364282265,0.0,0.412579872602,0.412579872602,0.412579872602,1.13930379611,0.259615925,0.37951047539,0.841671169644
 12/10  22:00:00,2.80313634696,16.1608237846,0.0,15.0519119403,0.0,0.418619067263,0.418619067263,0.418619067263,0.960589450587,0.218891837971,0.359614732068,0.822021259068
 12/10  23:00:00,2.33188498892,16.3700953581,0.0,15.4675697068,0.0,0.430222789218,0.430222789218,0.430222789218,0.714857255563,0.162896256486,0.289154633287,0.71135405437
 12/10  24:00:00,1.88847098042,16.4258096448,0.0,15.7509571023,0.0,0.438128797454,0.438128797454,0.438128797454,0.502633986536,0.1145364375,0.191618322082,0.618153436849
 12/11  01:00:00,1.41221285126,16.4822537423,0.0,16.0652113479,0.0,0.446895335211,0.446895335211,0.446895335211,0.256901791512,0.0585408254713,0.115167850971,0.511307048096
 12/11  02:00:00,1.23722907172,16.5945020269,0.0,16.2724367483,0.0,0.452670550181,0.452670550181,0.452670550181,0.156375021012,0.0356335685143,0.0983708244822,0.470779107534
 12/11  03:00:00,1.15353242884,16.7579730949,0.0,16.4615610651,0.0,0.457927386586,0.457927386586,0.457927386586,0.100526810211,0.0229072875,0.0834501454999,0.465320799041
