Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 12/11  02:00:00,0.889784885967,7.39218154804,0.0,6.9952167842,0.187300234162,0.187300234162,0.187300234162,0.126775979222,0.0277149912519,0.0983708244822,0.428922856849
 12/11  03:00:00,0.822688375442,7.66675126658,0.0,7.29297206087,0.195272772364,0.195272772364,0.195272772364,0.0814988419834,0.0178167773756,0.0834501454999,0.423949838219
 12/11  04:00:00,0.80496287215,7.55772757652,0.0,7.17867450306,0.192212401256,0.192212401256,0.192212401256,0.0814988419834,0.0178167773756,0.0747526356716,0.417982215863
 12/11  05:00:00,0.79386362587,7.34539289067,0.0,6.90218887484,0.184809367939,0.184809367939,0.184809367939,0.0814988419834,0.0178167773756,0.0868457568597,0.402192881712
 12/11  06:00:00,0.852639368979,7.11899168918,0.0,6.3848672316,0.170957836542,0.170957836542,0.170957836542,0.0905542628612,0.019796420626,0.101815917579,0.44881493137
 12/11  07:00:00,1.11709693584,8.03735920572,0.0,6.76070924236,0.18102118394,0.18102118394,0.18102118394,0.1901639145,0.041572475,0.165077844744,0.518561517658
 12/11  08:00:00,1.49731027673,7.29744923696,0.0,5.8708086521,0.157193675218,0.157193675218,0.157193675218,0.389383325943,0.0851246075038,0.25639820385,0.551010464219
 12/11  09:00:00,1.43810506251,7.35219145452,0.0,5.97104924836,0.15987766454,0.15987766454,0.15987766454,0.380327937665,0.0831449737557,0.32820696637,0.465847520178
 12/11  10:00:00,1.21818377442,6.75559141527,0.0,5.49838990817,0.147221987407,0.147221987407,0.147221987407,0.208274799722,0.0455317662519,0.39998131075,0.396473910288
 12/11  11:00:00,1.20990372384,6.9776971807,0.0,5.86202101708,0.156958382139,0.156958382139,0.156958382139,0.172053137943,0.0376132075038,0.416780676038,0.405798320219
 12/11  12:00:00,1.20536287398,5.96771326126,0.0,4.97988376983,0.133338740594,0.133338740594,0.133338740594,0.172053137943,0.0376132075038,0.435735142253,0.405922645685
 12/11  13:00:00,1.16998818629,5.17721645904,0.0,4.29124358243,0.114900074241,0.114900074241,0.114900074241,0.172053137943,0.0376132075038,0.425637021538,0.399084745068
 12/11  14:00:00,1.1377852517,4.88038468463,0.0,4.05474957368,0.108567835429,0.108567835429,0.108567835429,0.172053137943,0.0376132075038,0.385966199058,0.412884871767
 12/11  15:00:00,1.1592842994,5.03706155525,0.0,4.27102033093,0.114358587128,0.114358587128,0.114358587128,0.1901639145,0.041572475,0.356355588907,0.436133733863
 12/11  16:00:00,1.28770500821,5.18743723841,0.0,4.41149669603,0.118119908169,0.118119908169,0.118119908169,0.262607346722,0.0574096162519,0.368490937387,0.460377199685
