Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 09/20  03:00:00,1.83719991421,0.0,0.0,1.00605438355,0.222965637367,1.22902002091,0.222965637367,0.0810307325486,0.0176196935189,0.0924101190091,0.340335477379,0.0563538708392
 09/20  04:00:00,1.78245104768,0.0,0.0,0.943146098313,0.206787689432,1.14993378775,0.206787689432,0.0810307325486,0.0176196935189,0.103039119246,0.327479259167,0.0829184554496
 09/20  05:00:00,1.92241679865,0.0,0.0,0.911665307967,0.199880016393,1.11154532436,0.199880016393,0.0868186505245,0.0188782445395,0.116839149346,0.365440533414,0.202464896467
 09/20  06:00:00,2.34965795013,0.0,0.0,0.908091218369,0.201244163675,1.10933538204,0.201244163675,0.162061422646,0.0352393870379,0.176134748577,0.422230599687,0.424226410139
 09/20  07:00:00,2.8342531303,0.0,0.0,0.993198642392,0.217742033498,1.21094067589,0.217742033498,0.306759225336,0.0667031279371,0.262609324643,0.448651646562,0.480659129934
 09/20  08:00:00,2.88151078121,0.0,0.0,1.13797361204,0.239140226129,1.37711383817,0.239140226129,0.254668054574,0.0553761895211,0.333681420029,0.379309052272,0.460932226647
 09/20  09:00:00,2.90076421955,0.0,0.0,1.32109432352,0.268012745609,1.58910706912,0.268012745609,0.127333975471,0.0276880947605,0.405040383769,0.322822676193,0.40834202023
 09/20  10:00:00,3.54692699346,0.0,0.0,1.93175939661,0.373531887343,2.30529128396,0.373531887343,0.0983944667488,0.0213953419653,0.422991796832,0.330414931042,0.34800917291
 09/20  11:00:00,3.56555024812,0.0,0.0,1.97822214037,0.382508874902,2.36073101528,0.382508874902,0.0983944667488,0.0213953419653,0.439602686989,0.330516161107,0.294480576038
 09/20  12:00:00,4.06435673937,0.0,0.0,2.46544432144,0.453536036,2.91898035744,0.453536036,0.0983944667488,0.0213953419653,0.428170705158,0.324948507551,0.252037360504
 09/20  13:00:00,4.54361277325,0.0,0.0,2.92260510966,0.524202103226,3.44680721288,0.524202103226,0.0983944667488,0.0213953419653,0.392016904173,0.336185044728,0.228383802753
 09/20  14:00:00,5.00772526414,0.0,0.0,3.35182387763,0.592962230364,3.94478610799,0.592962230364,0.0983944667488,0.0213953419653,0.362823459415,0.355115066819,0.204780821201
 09/20  15:00:00,5.28220581877,0.0,0.0,3.55799362002,0.629474508388,4.18746812841,0.629474508388,0.0983944667488,0.0213953419653,0.371024621008,0.374854929427,0.208638331217
 09/20  16:00:00,5.67103637493,0.0,0.0,3.74336550004,0.671587551989,4.41495305203,0.671587551989,0.109970251884,0.0239124486219,0.420646057535,0.4433876832,0.237736881655
 09/20  17:00:00,5.74132331204,0.0,0.0,3.50905543671,0.662138081839,4.17119351855,0.662138081839,0.162061422646,0.0352393870379,0.511746967733,0.538645174043,0.302006842029
 09/20  18:00:00,5.41019284391,0.0,0.0,2.98371766384,0.591302620893,3.57502028473,0.591302620893,0.300971317473,0.0654445792242,0.469396950471,0.584806083527,0.364123628484
 09/20  19:00:00,5.31928320453,0.0,0.0,2.70881173596,0.549713684146,3.25852542011,0.549713684146,0.549851360553,0.119562220032,0.390119585571,0.603634875553,0.377159742717
 09/20  20:00:00,5.35955152957,0.0,0.0,2.5008027552,0.519346114333,3.02014886954,0.519346114333,0.821883138714,0.178714032615,0.351021268662,0.624387038808,0.342967181233
 09/20  21:00:00,4.87734552656,0.0,0.0,2.21259575647,0.469820969387,2.68241672586,0.469820969387,0.764004060089,0.166128545486,0.333327248776,0.609809909497,0.301229036852
 09/20  22:00:00,4.12423058058,0.0,0.0,1.94841142764,0.41862354853,2.36703497617,0.41862354853,0.573003098131,0.124596391807,0.273439653687,0.52771232706,0.238014133724
 09/20  23:00:00,3.37519494905,0.0,0.0,1.68387224418,0.365255893788,2.04912813797,0.365255893788,0.399365753632,0.0868399304203,0.190980660183,0.458572192899,0.169878273941
 09/20  24:00:00,2.60400636404,0.0,0.0,1.41790868686,0.311006383828,1.72891507068,0.311006383828,0.202576883811,0.0440492280281,0.133100166867,0.379309052272,0.0956259623771
 09/21  01:00:00,2.22087699844,0.0,0.0,1.25130485705,0.2744626947,1.52576755175,0.2744626947,0.121546067609,0.0264295460477,0.115864577324,0.349243723068,0.0615955326391
 09/21  02:00:00,1.82544050647,0.0,0.0,0.982068978684,0.223654100807,1.20572307949,0.223654100807,0.0810307325486,0.0176196935189,0.101683880294,0.345194520482,0.0537586001383
 09/21  03:00:00,1.63600433312,0.0,0.0,0.835028372577,0.191940511059,1.02696888364,0.191940511059,0.0810307325486,0.0176196935189,0.0924101190091,0.340335477379,0.0572094270296
 09/21  04:00:00,1.51648001067,0.0,0.0,0.716798832652,0.165982989058,0.882781821711,0.165982989058,0.0810307325486,0.0176196935189,0.103039119246,0.327479259167,0.0840993844777
 09/21  05:00:00,1.62846220936,0.0,0.0,0.662359946096,0.153368292924,0.815728239021,0.153368292924,0.0868186505245,0.0188782445395,0.116839149346,0.365440533414,0.20432739252
 09/21  06:00:00,1.9564007425,0.0,0.0,0.577874911271,0.134924526608,0.712799437879,0.134924526608,0.162061422646,0.0352393870379,0.176134748577,0.422230599687,0.427505146672
 09/21  07:00:00,2.41486994669,0.0,0.0,0.64080460499,0.147255680005,0.788060284994,0.147255680005,0.306759225336,0.0667031279371,0.262609324643,0.448651646562,0.484156337214
 09/21  08:00:00,2.6614339726,0.0,0.0,0.949750454049,0.203987157238,1.15373761129,0.203987157238,0.254668054574,0.0553761895211,0.333681420029,0.379309052272,0.464231644917
 09/21  09:00:00,2.98233590501,0.0,0.0,1.38970575794,0.278981409133,1.66868716708,0.278981409133,0.127333975471,0.0276880947605,0.405040383769,0.322822676193,0.410333607737
 09/21  10:00:00,3.50688166442,0.0,0.0,1.89766985964,0.367003133923,2.26467299356,0.367003133923,0.0983944667488,0.0213953419653,0.422991796832,0.330414931042,0.348582134267
 09/21  11:00:00,3.52065907815,0.0,0.0,1.94037494261,0.375247859318,2.31562280193,0.375247859318,0.0983944667488,0.0213953419653,0.439602686989,0.330516161107,0.294697619403
 09/21  12:00:00,3.94305258503,0.0,0.0,2.35825093785,0.438889220368,2.79714015821,0.438889220368,0.0983944667488,0.0213953419653,0.428170705158,0.324948507551,0.25257340539
