Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 10/08  19:00:00,2.94195780157,1.74871053706,0.0,1.70216391582,0.0,0.0467973688045,0.0467973688045,0.0467973688045,0.986848543489,0.223067318978,0.433195570576,0.674707326898,0.554571672826
 10/08  20:00:00,3.00933524961,2.3037778723,0.0,2.2556310402,0.0,0.0620278346139,0.0620278346139,0.0620278346139,1.0872060767,0.245752117825,0.387533176485,0.697902866393,0.506143177588
 10/08  21:00:00,2.71288622943,2.99526668286,0.0,2.94824390131,0.0,0.0810868721081,0.0810868721081,0.0810868721081,0.911580455764,0.206053712603,0.367678107085,0.68160941426,0.442107667606
 10/08  22:00:00,2.20343125231,3.87156834408,0.0,3.83087615281,0.0,0.105367938883,0.105367938883,0.105367938883,0.685776064473,0.155012864519,0.297024389604,0.589845597035,0.347634397797
 10/08  23:00:00,1.67870771563,4.2869554196,0.0,4.25159466256,0.0,0.116939605775,0.116939605775,0.116939605775,0.476697974336,0.107752859681,0.199054806327,0.512564848373,0.242927621135
 10/08  24:00:00,1.15016882653,5.31561432776,0.0,5.28636559562,0.0,0.145397895063,0.145397895063,0.145397895063,0.242530561832,0.0548216334125,0.13007689818,0.423969202396,0.130602635651
 10/09  01:00:00,0.944247893324,5.97995291325,0.0,5.95302253537,0.0,0.163729496082,0.163729496082,0.163729496082,0.15053617545,0.03402721275,0.105451095784,0.39036395737,0.0773699558885
 10/09  02:00:00,0.87277214851,6.75359031052,0.0,6.7269721689,0.0,0.185018874446,0.185018874446,0.185018874446,0.100357484215,0.0226848133266,0.0904395727229,0.385837998444,0.065663405356
 10/09  03:00:00,0.865662771029,6.89038474205,0.0,6.86414128396,0.0,0.188793411429,0.188793411429,0.188793411429,0.100357484215,0.0226848133266,0.0815325148897,0.380406847733,0.0691176994361
 10/09  04:00:00,0.928962506583,7.99498451926,0.0,7.96973241131,0.0,0.219201874581,0.219201874581,0.219201874581,0.100357484215,0.0226848133266,0.0934531543451,0.366036928142,0.104458251973
 10/09  05:00:00,1.14676392858,7.74467970578,0.0,7.71650038284,0.0,0.212239471873,0.212239471873,0.212239471873,0.10872060767,0.0245752117825,0.108356723184,0.408467793074,0.261634120994
 10/09  06:00:00,1.74572123625,9.0623398989,0.0,9.02978146234,0.0,0.248363780358,0.248363780358,0.248363780358,0.225804388794,0.051040819125,0.171615042699,0.471944367012,0.55418283826
 10/09  07:00:00,2.21979499036,7.28941008288,0.0,7.25481430469,0.0,0.199555114431,0.199555114431,0.199555114431,0.459971801298,0.103972045394,0.26297090348,0.501476249004,0.631578876757
 10/09  08:00:00,2.0461891776,5.62233327183,0.0,5.59308453968,0.0,0.153828494339,0.153828494339,0.153828494339,0.409793033443,0.09262966045,0.334870698725,0.423969202396,0.608328088245
 10/09  09:00:00,1.68493143958,3.88930755092,0.0,3.86441451467,0.0,0.106264665352,0.106264665352,0.106264665352,0.200714943305,0.0453696266531,0.406710562808,0.360832075378,0.54226956608
 10/09  10:00:00,1.55448749768,2.88384260438,0.0,2.85836412514,0.0,0.078589044736,0.078589044736,0.078589044736,0.158899324779,0.0359176198937,0.423353375669,0.369318248364,0.465639884237
 10/09  11:00:00,1.46568526387,1.41381694229,0.0,1.38833065714,0.0,0.0381683133013,0.0381683133013,0.0381683133013,0.158899324779,0.0359176198937,0.442174469475,0.369431397337,0.39832413908
 10/09  12:00:00,1.37182425291,0.493194207046,0.0,0.468137246761,0.0,0.0128694138681,0.0128694138681,0.0128694138681,0.158899324779,0.0359176198937,0.432310148963,0.363208203814,0.34584954159
 10/09  13:00:00,1.30359809018,0.0883227084996,0.0,0.0623992925783,0.0,0.00171536081993,0.00171536081993,0.00171536081993,0.158899324779,0.0359176198937,0.392839479418,0.375767739833,0.315688565435
 10/09  14:00:00,1.51101069613,0.0273831204612,0.0,0.0,0.199633804105,0.0487311579504,0.248364962055,0.0487311579504,0.158899324779,0.0359176198937,0.363165015326,0.396926597813,0.28496717626
 10/09  15:00:00,1.67081657342,0.0289052722543,0.0,0.0,0.288824602385,0.0705028759127,0.359327478298,0.0705028759127,0.167262474107,0.0378080270375,0.375164064812,0.418990647577,0.289493881593
 10/09  16:00:00,1.91055388734,0.0341898710434,0.0,0.0,0.300224514151,0.0732856255747,0.373510139726,0.0732856255747,0.209078092634,0.0472600337968,0.435099748529,0.4955925024,0.327243370258
 10/09  17:00:00,2.11801181146,0.0415352291831,0.0,0.0,0.0969116462412,0.0236563980804,0.120568044322,0.0236563980804,0.342888095046,0.0775064322594,0.542946890966,0.602065686135,0.409266662729
 10/09  18:00:00,2.45551712227,0.195587482427,0.0,0.15049275982,0.0,0.00413684436201,0.00413684436201,0.00413684436201,0.627234275405,0.141780072431,0.489747790749,0.653661617892,0.486186521436
 10/09  19:00:00,2.81037778327,0.414093305764,0.0,0.367546684524,0.0,0.0101035676196,0.0101035676196,0.0101035676196,0.986848543489,0.223067318978,0.393243357496,0.674707326898,0.499637668786
 10/09  20:00:00,2.87261874964,0.709313520023,0.0,0.661166687924,0.0,0.0181758321729,0.0181758321729,0.0181758321729,1.0872060767,0.245752117825,0.346868577915,0.697902866393,0.453943278628
 10/09  21:00:00,2.58862353475,1.56905226142,0.0,1.52202947987,0.0,0.0418447374459,0.0418447374459,0.0418447374459,0.911580455764,0.206053712603,0.326136773512,0.68160941426,0.398628441166
 10/09  22:00:00,2.0906115872,2.21932114147,0.0,2.17862895021,0.0,0.0598983377738,0.0598983377738,0.0598983377738,0.685776064473,0.155012864519,0.264015642455,0.589845597035,0.313293080949
 10/09  23:00:00,1.5906487324,2.52381811931,0.0,2.48845736227,0.0,0.0684129146733,0.0684129146733,0.0684129146733,0.476697974336,0.107752859681,0.180930820152,0.512564848373,0.221519315188
 10/09  24:00:00,1.06746422304,2.87171083931,0.0,2.84246210716,0.0,0.0781334836877,0.0781334836877,0.0781334836877,0.242530561832,0.0548216334125,0.122407601285,0.423969202396,0.122831740427
 10/10  01:00:00,0.872954399561,3.37591318863,0.0,3.34898281075,0.0,0.092043646058,0.092043646058,0.092043646058,0.15053617545,0.03402721275,0.105451095784,0.39036395737,0.0777623121494
 10/10  02:00:00,0.784031643704,3.51749731791,0.0,3.4908791763,0.0,0.0959317801298,0.0959317801298,0.0959317801298,0.100357484215,0.0226848133266,0.0904395727229,0.385837998444,0.0660099948665
 10/10  03:00:00,0.783677329237,3.89907255727,0.0,3.87282909918,0.0,0.106415064197,0.106415064197,0.106415064197,0.100357484215,0.0226848133266,0.0815325148897,0.380406847733,0.0695106048769
 10/10  04:00:00,0.821196764098,4.05776038676,0.0,4.03250827881,0.0,0.110797379198,0.110797379198,0.110797379198,0.100357484215,0.0226848133266,0.0934531543451,0.366036928142,0.105097004871
 10/10  05:00:00,1.049729389,4.16542833832,0.0,4.13724901538,0.0,0.113665220869,0.113665220869,0.113665220869,0.10872060767,0.0245752117825,0.108356723184,0.408467793074,0.263173832417
 10/10  06:00:00,1.64498103207,5.2901880768,0.0,5.25762964024,0.0,0.144439282117,0.144439282117,0.144439282117,0.225804388794,0.051040819125,0.171615042699,0.471944367012,0.557367132322
 10/10  07:00:00,2.13625363528,4.12310627191,0.0,4.08851049372,0.0,0.112322016677,0.112322016677,0.112322016677,0.459971801298,0.103972045394,0.26297090348,0.501476249004,0.635270619429
 10/10  08:00:00,1.98194073335,3.16144812988,0.0,3.13219939773,0.0,0.0860396592356,0.0860396592356,0.0860396592356,0.409793033443,0.09262966045,0.334870698725,0.423969202396,0.611868479096
 10/10  09:00:00,1.6401273602,2.14850352399,0.0,2.12361048775,0.0,0.0583223564298,0.0583223564298,0.0583223564298,0.200714943305,0.0453696266531,0.406710562808,0.360832075378,0.545407795628
 10/10  10:00:00,1.5258460914,1.74754173189,0.0,1.72206325264,0.0,0.0472835511636,0.0472835511636,0.0472835511636,0.158899324779,0.0359176198937,0.423353375669,0.369318248364,0.468303971535
 10/10  11:00:00,1.44351940636,0.526477632431,0.0,0.500991347281,0.0,0.0137531515635,0.0137531515635,0.0137531515635,0.158899324779,0.0359176198937,0.442174469475,0.369431397337,0.40057344331
 10/10  12:00:00,1.50194295079,0.0250569602852,0.0,0.0,0.113503394847,0.0275342475685,0.141037642416,0.0275342475685,0.158899324779,0.0359176198937,0.432310148963,0.363208203814,0.347800010927
 10/10  13:00:00,1.75162113362,0.0259234159212,0.0,0.0,0.360498835449,0.0874098509179,0.447908686367,0.0874098509179,0.158899324779,0.0359176198937,0.392839479418,0.375767739833,0.317518283333
 10/10  14:00:00,1.9114306547,0.0273831204612,0.0,0.0,0.521701368863,0.125420294734,0.647121663597,0.125420294734,0.158899324779,0.0359176198937,0.363165015326,0.396926597813,0.286630433292
 10/10  15:00:00,2.14341869363,0.0289052722543,0.0,0.0,0.67027920236,0.159949484348,0.830228686707,0.159949484348,0.167262474107,0.0378080270375,0.375164064812,0.418990647577,0.291194793391
 10/10  16:00:00,2.36178990795,0.0341898710434,0.0,0.0,0.663383794101,0.159416265417,0.822800059518,0.159416265417,0.209078092634,0.0472600337968,0.435099748529,0.4955925024,0.32918947107
 10/10  17:00:00,2.53649905412,0.0415352291831,0.0,0.0,0.432103140829,0.104565373291,0.53666851412,0.104565373291,0.342888095046,0.0775064322594,0.542946890966,0.602065686135,0.411653435597
 10/10  18:00:00,2.9269464211,0.0450947226068,0.0,0.0,0.380829336211,0.0919951122838,0.472824448495,0.0919951122838,0.627234275405,0.141780072431,0.489747790749,0.653661617892,0.48892821613
 10/10  19:00:00,3.08267952033,0.0465466212401,0.0,0.0,0.225360240074,0.0543041101179,0.279664350192,0.0543041101179,0.986848543489,0.223067318978,0.393243357496,0.674707326898,0.502378623274
 10/10  20:00:00,3.03171345504,0.0481468320994,0.0,0.0,0.140880366797,0.0339028230524,0.174783189849,0.0339028230524,1.0872060767,0.245752117825,0.346868577915,0.697902866393,0.456430626357
 10/10  21:00:00,2.5494360065,0.0633891218364,0.0,0.0163663402918,0.0,0.000448773533227,0.000448773533227,0.000448773533227,0.911580455764,0.206053712603,0.326136773512,0.68160941426,0.400836876829
 10/10  22:00:00,2.04623421045,0.543974589076,0.0,0.503282397809,0.0,0.0137992010687,0.0137992010687,0.0137992010687,0.685776064473,0.155012864519,0.264015642455,0.589845597035,0.315014840898
 10/10  23:00:00,1.55386938746,1.1465023331,0.0,1.11114157607,0.0,0.0304588061403,0.0304588061403,0.0304588061403,0.476697974336,0.107752859681,0.180930820152,0.512564848373,0.222694078777
 10/10  24:00:00,1.03418615191,1.64201949022,0.0,1.61277075807,0.0,0.0441974720084,0.0441974720084,0.0441974720084,0.242530561832,0.0548216334125,0.122407601285,0.423969202396,0.123489680975
 10/11  01:00:00,0.835372045563,2.00173035215,0.0,1.97479997428,0.0,0.0541108951252,0.0541108951252,0.0541108951252,0.15053617545,0.03402721275,0.105451095784,0.39036395737,0.0781127090839
 10/11  02:00:00,0.751577021395,2.33253227469,0.0,2.30591413308,0.0,0.0631757207367,0.0631757207367,0.0631757207367,0.100357484215,0.0226848133266,0.0904395727229,0.385837998444,0.0663114319503
 10/11  03:00:00,0.744444312221,2.46809523622,0.0,2.44185177813,0.0,0.0668862889763,0.0668862889763,0.0668862889763,0.100357484215,0.0226848133266,0.0815325148897,0.380406847733,0.0698063630808
 10/11  04:00:00,0.780903882445,2.58080825493,0.0,2.55555614698,0.0,0.0699915312707,0.0699915312707,0.0699915312707,0.100357484215,0.0226848133266,0.0934531543451,0.366036928142,0.105609971145
 10/11  05:00:00,1.01353347576,2.8058307914,0.0,2.77765146846,0.0,0.0760584015227,0.0760584015227,0.0760584015227,0.10872060767,0.0245752117825,0.108356723184,0.408467793074,0.264584738527
 10/11  06:00:00,1.59463244104,3.35595902575,0.0,3.32340058919,0.0,0.0909730592559,0.0909730592559,0.0909730592559,0.225804388794,0.051040819125,0.171615042699,0.471944367012,0.560484764157
 10/11  07:00:00,2.09303663004,2.4288610278,0.0,2.39426524962,0.0,0.0655328910737,0.0655328910737,0.0655328910737,0.459971801298,0.103972045394,0.26297090348,0.501476249004,0.638842739794
 10/11  08:00:00,1.94764118817,1.79252325777,0.0,1.76327452563,0.0,0.0482514053837,0.0482514053837,0.0482514053837,0.409793033443,0.09262966045,0.334870698725,0.423969202396,0.615357187771
 10/11  09:00:00,1.61006611398,0.94317367896,0.0,0.918280642714,0.0,0.0251219882786,0.0251219882786,0.0251219882786,0.200714943305,0.0453696266531,0.406710562808,0.360832075378,0.548546917558
 10/11  10:00:00,1.48446941599,0.141394194074,0.0,0.11591571483,0.0,0.00317051846805,0.00317051846805,0.00317051846805,0.158899324779,0.0359176198937,0.423353375669,0.369318248364,0.471040328818
 10/11  11:00:00,1.854469612,0.0254862851499,0.0,0.0,0.342714851946,0.0796081225977,0.422322974543,0.0796081225977,0.158899324779,0.0359176198937,0.442174469475,0.369431397337,0.402953825974
 10/11  12:00:00,2.15386054474,0.0250569602852,0.0,0.0,0.643863381153,0.146980567618,0.790843948772,0.146980567618,0.158899324779,0.0359176198937,0.432310148963,0.363208203814,0.34991129852
 10/11  13:00:00,2.35217934758,0.0259234159212,0.0,0.0,0.852094179068,0.194447940129,1.0465421192,0.194447940129,0.158899324779,0.0359176198937,0.392839479418,0.375767739833,0.319443064456
 10/11  14:00:00,2.53258054447,0.0273831204612,0.0,0.0,1.03125991944,0.235335032156,1.2665949516,0.235335032156,0.158899324779,0.0359176198937,0.363165015326,0.396926597813,0.28830703506
 10/11  15:00:00,2.61198123431,0.0289052722543,0.0,0.0,1.05447844781,0.242616197082,1.29709464489,0.242616197082,0.167262474107,0.0378080270375,0.375164064812,0.418990647577,0.292891375883
 10/11  16:00:00,2.74088095031,0.0341898710434,0.0,0.0,0.974247607315,0.225788938991,1.20003654631,0.225788938991,0.209078092634,0.0472600337968,0.435099748529,0.4955925024,0.331044026642
 10/11  17:00:00,2.86886348837,0.0415352291831,0.0,0.0,0.702161274034,0.164605038595,0.866766312629,0.164605038595,0.342888095046,0.0775064322594,0.542946890966,0.602065686135,0.413920071338
 10/11  18:00:00,3.14074204431,0.0450947226068,0.0,0.0,0.554281442763,0.129687994397,0.683969437159,0.129687994397,0.627234275405,0.141780072431,0.489747790749,0.653661617892,0.491578850673
 10/11  19:00:00,3.36168716168,0.0465466212401,0.0,0.0,0.450716194129,0.105264516709,0.555980710838,0.105264516709,0.986848543489,0.223067318978,0.393243357496,0.674707326898,0.505069903985
 10/11  20:00:00,3.31837886178,0.0481468320994,0.0,0.0,0.372131152933,0.0868502174708,0.458981370404,0.0868502174708,1.0872060767,0.245752117825,0.346868577915,0.697902866393,0.458897852535
 10/11  21:00:00,2.79456495384,0.0470227815446,0.0,0.0,0.19737480522,0.0460416268777,0.243416432097,0.0460416268777,0.911580455764,0.206053712603,0.326136773512,0.68160941426,0.402998165608
 10/11  22:00:00,2.09632687992,0.0406921912669,0.0,0.0,0.0504560759463,0.0117655242015,0.0622216001478,0.0117655242015,0.685776064473,0.155012864519,0.264015642455,0.589845597035,0.316685111293
 10/11  23:00:00,1.53476769412,0.41010122966,0.0,0.374740472622,0.0,0.0102364193116,0.0102364193116,0.0102364193116,0.476697974336,0.107752859681,0.180930820152,0.512564848373,0.223814772267
 10/11  24:00:00,1.0179977747,1.03477979313,0.0,1.00553106098,0.0,0.0274644061742,0.0274644061742,0.0274644061742,0.242530561832,0.0548216334125,0.122407601285,0.423969202396,0.124034369597
 10/12  01:00:00,0.824263622867,1.58948018146,0.0,1.56254980359,0.0,0.0426716614134,0.0426716614134,0.0426716614134,0.15053617545,0.03402721275,0.105451095784,0.39036395737,0.0784435200996
 10/12  02:00:00,0.739846972951,1.90311810398,0.0,1.87649996237,0.0,0.051239900464,0.051239900464,0.051239900464,0.100357484215,0.0226848133266,0.0904395727229,0.385837998444,0.0665172037793
 10/12  03:00:00,0.731489160198,1.99258203776,0.0,1.96633857967,0.0,0.0536897098798,0.0536897098798,0.0536897098798,0.100357484215,0.0226848133266,0.0815325148897,0.380406847733,0.070047790155
 10/12  04:00:00,0.774091496633,2.32263825685,0.0,2.2973861489,0.0,0.0627232887358,0.0627232887358,0.0627232887358,0.100357484215,0.0226848133266,0.0934531543451,0.366036928142,0.106065827869
 10/12  05:00:00,1.0074450428,2.54233075382,0.0,2.51415143088,0.0,0.0686353967105,0.0686353967105,0.0686353967105,0.10872060767,0.0245752117825,0.108356723184,0.408467793074,0.265919310379
 10/12  06:00:00,1.59433671212,3.24427998074,0.0,3.21172154418,0.0,0.0876730139213,0.0876730139213,0.0876730139213,0.225804388794,0.051040819125,0.171615042699,0.471944367012,0.563489080572
