Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/11  07:00:00,1.2160230426,8.10735389873,0.0,6.98046308625,0.0,0.192195078045,0.192195078045,0.192195078045,0.30012153441,0.0653888174317,0.211649190125,0.414556422586,1.09833711386
 10/11  08:00:00,1.14129925678,7.45030582563,0.0,6.35903205109,0.0,0.175085040383,0.175085040383,0.175085040383,0.267380977545,0.0582555024903,0.272982226561,0.350483509799,1.06713327167
 10/11  09:00:00,0.947197120803,6.00317226674,0.0,5.00988341918,0.0,0.137938546891,0.137938546891,0.137938546891,0.130962143864,0.0285333144043,0.334361307064,0.29828980858,0.972743327496
 10/11  10:00:00,0.922169791446,5.39964942915,0.0,4.51691786528,0.0,0.12436558591,0.12436558591,0.12436558591,0.10367836041,0.0225888731445,0.34911988098,0.305305091002,0.861702847196
 10/11  11:00:00,0.886794479073,3.42641329008,0.0,2.64290700413,0.0,0.0727679111898,0.0727679111898,0.0727679111898,0.10367836041,0.0225888731445,0.365248706228,0.305398628101,0.762471126664
 10/11  12:00:00,0.841611150927,2.22764191419,0.0,1.52076633582,0.0,0.041871692607,0.041871692607,0.041871692607,0.10367836041,0.0225888731445,0.356106137108,0.300254087658,0.68619476326
 10/11  13:00:00,0.802644130487,1.62011756547,0.0,0.956977828658,0.0,0.0263487430839,0.0263487430839,0.0263487430839,0.10367836041,0.0225888731445,0.322279448206,0.310636705643,0.641743790719
 10/11  14:00:00,0.780006659746,1.03571506599,0.0,0.416245390891,0.0,0.0114606028855,0.0114606028855,0.0114606028855,0.10367836041,0.0225888731445,0.297038680158,0.328128143148,0.596868958775
 10/11  15:00:00,0.812014713925,0.935456626932,0.0,0.308651032835,0.0,0.00849817678448,0.00849817678448,0.00849817678448,0.109135133819,0.0237777468263,0.307123779051,0.346367877445,0.602948566574
 10/11  16:00:00,0.959510076555,1.0091319494,0.0,0.322248691434,0.0,0.00887256499102,0.00887256499102,0.00887256499102,0.136418833681,0.029722188086,0.357691996357,0.40969249344,0.658664575665
 10/11  17:00:00,1.2607155797,1.71196310315,0.0,0.900341776691,0.0,0.0247893665363,0.0247893665363,0.0247893665363,0.223726957455,0.0487444037597,0.448631948385,0.49771090356,0.777340137306
 10/11  18:00:00,1.50586502086,1.55626523128,0.0,0.632221786985,0.0,0.0174071425047,0.0174071425047,0.0174071425047,0.409256584636,0.0891665824708,0.402558890565,0.540363820686,0.886824419722
 10/11  19:00:00,1.70992595607,2.05219728476,0.0,1.10799949549,0.0,0.0305068656447,0.0305068656447,0.0305068656447,0.643897005317,0.140288751807,0.320359612211,0.557761721092,0.905780437092
 10/11  20:00:00,1.78207219195,2.44163549717,0.0,1.56091658777,0.0,0.0429771609277,0.0429771609277,0.0429771609277,0.709378119045,0.154555418115,0.281112667479,0.576936826379,0.84098081981
 10/11  21:00:00,1.6303239466,3.04234530946,0.0,2.24181376898,0.0,0.0617244969236,0.0617244969236,0.0617244969236,0.59478629541,0.129588761182,0.263644908961,0.563467484128,0.761721188389
