Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 04/22  09:00:00,0.672230038602,0.105846062962,0.0,0.0,0.0,0.0,0.0,0.025895159275,0.00431058804385,0.073228524573,0.222893389255,0.336107377455
 04/22  10:00:00,0.61561373582,0.0955508125029,0.0,0.0,0.0,0.0,0.0,0.0207161295428,0.00344847043508,0.0689963365411,0.228135472728,0.284522326574
 04/22  11:00:00,0.57344524829,0.10886543319,0.0,0.00162961807109,0.000341024816448,0.00197064288754,0.000341024816448,0.0207161295428,0.00344847043508,0.0679662920436,0.228205367174,0.241343346207
 04/22  12:00:00,0.562361649647,0.121911153108,0.0,0.0215170894664,0.00441259760458,0.025929687071,0.00441259760458,0.0207161295428,0.00344847043508,0.0695945534033,0.224361172627,0.208516636567
 04/22  13:00:00,0.576051320921,0.102470011631,0.0,0.0446124706842,0.00904713274257,0.0536596034268,0.00904713274257,0.0207161295428,0.00344847043508,0.0678988010544,0.232119456167,0.188413860295
 04/22  14:00:00,0.605731200178,0.0993768850387,0.0,0.0756714689717,0.0150122266884,0.0906836956601,0.0150122266884,0.0207161295428,0.00344847043508,0.0647585706427,0.245189717625,0.171139616272
 04/22  15:00:00,0.677272313207,0.124278440237,0.0,0.11868612907,0.0233026962821,0.141988825352,0.0233026962821,0.0207161295428,0.00344847043508,0.0670449728714,0.258819134654,0.175459780352
 04/22  16:00:00,0.837299773331,0.194097178673,0.0,0.181803653672,0.0352462072664,0.217049860939,0.0352462072664,0.0220108876392,0.00366399983727,0.0764068243317,0.3061376748,0.202235525785
 04/22  17:00:00,1.05196227883,0.307786308067,0.0,0.238195444599,0.0467661108019,0.284961555401,0.0467661108019,0.0297794388711,0.00495717669212,0.0934713543359,0.37190834877,0.257089404762
 04/22  18:00:00,1.16601931118,0.247417897267,0.0,0.21322860913,0.0428179346025,0.256046543732,0.0428179346025,0.0543798241294,0.00905223665884,0.0955301778292,0.403780216283,0.307435312552
